Registry order,Arcana ID,Arcana,Element,Runtime handler,Primary behavior,Compound tags,Gameplay geometry,Origin / ownership,Aim model,Max reach (units),Inner radius / dead zone,Outer radius / half-width,Multiplicity / density,Persistence (s),"Largest single footprint (sq units, est.)",Single-footprint tier,Estimated unique cast coverage (sq units),Cast-coverage tier,Coverage interpretation,Contact reliability (1-5),Full-value reliability (1-5),Reliability gap,Control,Defense,Resource / commitment,Coded full-value condition,Produces states,Naturally benefits from,Role hypothesis,Audit flags / implementation notes,Geometry confidence,Authoritative runtime source,Has audit flag
11,EARTH-KNUCKLES,Earth Knuckles,Earth,wizardNextSource,Attached strike,heavy melee; self-advance; knockback,Wide forward strips with short caster advance,Temporary fist remains caster-connected,Activation snapshot per beat,4.01,,1.28,2 punches,0.38,8.83,Medium (4-12),8.83,Medium (4-12),Largest second-punch strip; max reach includes .56 collision-clipped caster advance.,4,3,1,Heavy outward push,,Two-beat string; forced short advance,Full string requires keeping the target in front after the first knockback,pushed; wall-adjacent opportunity,grouped; close; wall-backed,Bridge,,High,src/wizard-next-source-runtime.js,False
12,BLADED-VINE,Bladed Vine,Earth,wizardVfxArcana,Attached strike,swept whip; bundled thrust; shared ledger,Two 3-unit swept whip sectors → three-strand 5.6-unit bundle,Copied curated source; connected to cast frame,Activation snapshot,5.6,,0.42,2 whips + 3 visible finisher strands / 1 shared hit,0.26,,Dynamic / unranked,,Dynamic / unranked,Whips sweep about ±0.79 rad; finisher tests three narrow strips at ±.2 rad. Exact union is intentionally left unranked.,4,3,1,Knockback varies by beat,,Three-beat string,No special trigger; finisher's three strands share one logical hit,pushed; frontal lane,grouped; pinned,Generalist,"Live curated geometry is 3.0 / 5.6 reach, not the unused generic 5.25 / 7.0 specification.",High,src/wizard-curated-basic-source-port.js,True
13,STONE-SHOT,Stone Shot,Earth,wizardNextSource,Traveling carrier,long range; projectile string; heavy finisher,Two small projectile capsules → larger boulder capsule,Three independent straight projectiles,Activation snapshot per beat,16.5,,0.72,3 projectiles,,1.63,Small (1-4),25.39,Large (12-30),Largest boulder corridor; first two stones are narrower but mostly reuse it.,3,3,0,Noticeable push; boulder strongest,,Three-beat string,No special condition,pushed; wall-adjacent opportunity,aligned; rooted,Generalist,,High,src/wizard-next-source-runtime.js,False
14,SPARK-CONTACT,Spark Contact,Lightning,wizardVfxArcana,Attached strike,rapid contact string; broad finisher,Four short rectangles; final beat also emits a broad annular sector,Copied curated source at cast frame,Activation snapshot per beat,3.5,0.5,3.5,4 contact hits + final independent arc,0.42,15.84,Large (12-30),15.84,Large (12-30),Final 151° sector dominates the compact 1.75 × 1.56 contact rectangles.,4,3,1,Forward knockback,,Four-beat string,"Final broad arc is emitted regardless, but earlier compact hits require close attachment",pushed; shock opportunity,close; grouped,Bridge,"The selected curated port animates source-local lunge but does not move the live player, despite movement language in the card.",High,src/wizard-curated-basic-source-port.js,True
15,BOLT-RAIL,Bolt Rail,Lightning,wizardNextSource,Attached strike,instant stream; fifth-hit gate,Instant narrow strip; conditional target-centered burst,Caster-to-forward stream ignores world collision,Activation snapshot per pulse,3.85,,0.48,5 pulses,0.13,6.61,Medium (4-12),,Dynamic / unranked,"Base strip is 3.70 sq units; fifth-contact burst is 6.61 around the struck target, so whole-cast union depends on target position.",3,2,1,,,Five rapid pulses,Beat 5 must contact an enemy or no finisher burst appears,contact-gated burst; repeated hits,pinned; close; shocked (future enhanced),Conditional payoff,,High,src/wizard-next-source-runtime.js,False
16,VOLT-DISC,Volt Disc,Lightning,wizardNextSource,Traveling carrier,manual sequence; endpoint payoff,Short projectile capsule + range-expiry disk,One disc per manual press,Live aim independently on each press,7.4,,1.38,Up to 3 presses,,5.98,Medium (4-12),12.7,Large (12-30),"One disc lane plus its 1.38-radius miss burst. Three presses may redirect, so total union can be larger.",3,3,0,,,Manual 3-press sequence; .9 s rolling timeout,Miss at maximum range hands damage to the burst; wall contact fizzles; direct hit has no damaging burst,endpoint zone; direct-hit semantic,targets near chosen endpoint,Bridge,,High,src/wizard-next-source-runtime.js,False
17,ICE-DAGGER,Ice Dagger,Ice,wizardNextTwentyBasics,Attached strike,narrow melee; live steering; self-advance,Four very narrow forward strips with collision-clipped advance,Blade remains connected to caster,Live aim and movement intent sampled every beat,4.19,,0.4,4 thrusts,0.25,2.68,Small (1-4),2.68,Small (1-4),Largest fourth thrust; max reach adds .84 caster advance.,4,3,1,Target push,,Four-beat committed string,No shard or freeze in current base form; full value requires continued close tracking,pushed; repositioned caster,close; pinned,Bridge,,High,src/wizard-next-twenty-basics-runtime.js,False
18,RIP-TIDE,Rip Tide,Water,wizardNextTwentyBasics,Traveling carrier,commitment; piercing; defensive projectile,Three broad piercing projectile capsules,Independent crescents from a committed activation,Aim snapshot; aim and movement locked during emission,7.25,,0.63,3 waves,,1.25,Small (1-4),10.38,Medium (4-12),Three waves mostly reuse the same 10.38-square-unit corridor.,3,3,0,Light knockback,Pierces and destroys eligible hostile projectiles without being consumed,Committed three-wave emission,Full value requires remaining aligned while the player cannot move or re-aim,projectile-cleared; pierced lane,pinned; corridor alignment,Bridge,,High,src/wizard-next-twenty-basics-runtime.js,False
19,AQUA-ARC,Aqua Arc,Water,wizardNextTwentyBasics,Traveling carrier,live aim; piercing; final doublet,Three-beat narrow stream lanes with a doubled final beat,Four independently owned piercing streams,Live aim per beat,6.8,,0.36,1 + 1 + 2 streams,,0.81,Tiny (<1),9.5,Medium (4-12),Union of center line and the final ±.28 lateral pair.,3,3,0,Knockback; final pair stronger,,Three-beat string,Full value requires aligning all four carriers,pierced lane; pushed,pinned; grouped,Generalist,,High,src/wizard-next-twenty-basics-runtime.js,False
20,CHAOS-CRUSHER,Chaos Crusher,Chaos,wizardNextTwentyBasics,Traveling carrier,compound melee/projectile; overlap,Proximal disk compresses into a piercing projectile capsule,"Three repeated, independently hittable phases",Activation snapshot per cycle,12.08,,1.25,3 proximal disks + 3 cores,,4.91,Medium (4-12),11.59,Medium (4-12),Approximate union of the 1.25-radius rift at 1.28 forward and its 10.8-unit core lane; repeated cycles add density.,4,3,1,Strong proximal and core knockback,Both phases destroy eligible hostile projectiles,Three transformation cycles,A close target can legitimately receive both proximal and projectile phases,projectile-cleared; pushed; phase-overlap opportunity,close targets aligned downrange,Self-combo bridge,,High,src/wizard-next-twenty-basics-runtime.js,False
21,SEARING-RUSH,Searing Rush,Fire,wizardNextTwentyDash,Movement / route,dash trail; persistent route,Persistent dash-route capsule,Flame strip is world-owned along the collision-clipped dash path,Dash direction snapshot,8.4,,0.72,One route; 4 burn ticks,0.35,13.72,Large (12-30),13.72,Large (12-30),Route-length estimate uses the standard 8.4-unit dash before wall clipping.,4,3,1,,Track destroys eligible hostile projectiles,5.5 s payload cooldown; dash movement still works while payload cools,Targets must intersect or remain on the brief flame strip for multiple ticks,burning route; projectile-cleared,enemies crossing route; grouped,Setup / bridge,,High,src/wizard-next-twenty-dash-runtime.js,False
22,FLARE-RUSH,Flare Rush,Fire,wizardNextTwentyDash,Movement / route,dash; rear volley; three lanes,Dash followed by three close parallel projectile capsules,Projectiles spawn behind and catch the caster,Dash direction snapshot,21.4,,0.38,3 parallel fireballs,,1.36,Small (1-4),29.95,Large (12-30),Projectile-only union after the dash; engagement reach combines 8.4 dash plus 13 projectile range. Lanes overlap slightly.,3,2,1,,,5.5 s payload cooldown; movement remains available,Full value requires targets to remain in the three-lane catch-up volley,burning; multi-lane pressure,wide groups; targets behind/along dash line,Payoff platform,,High,src/wizard-next-twenty-dash-runtime.js,False
23,IGNITION-RUSH,Ignition Rush,Fire,wizardNextTwentyDash,Movement / route,dash; mobile aura; hollow center,Player-following open annulus after dash,Ring remains attached to the live player for 3 s,Radial around player after directional dash,8.4,1.05,2.25,One mobile ring,3.0,12.44,Large (12-30),,Dynamic / unranked,Instant annulus is 12.44 sq units; unique coverage is movement-dependent and can far exceed that over 3 s.,5,4,1,Outward nudge,No shield in current base form,6 s payload cooldown; movement remains available,Targets inside the open center are not touched; full burn requires sustained ring contact,burning; spacing pressure,surrounded; mobile kiting,Engine / high-floor,,High,src/wizard-next-twenty-dash-runtime.js,False
24,AIR-BURST,Air Burst,Air,wizardNextTwentyDash,Movement / route,dash; carry; rear burst,Broad rear-biased circular/curled burst,Brief payload follows the resolved dash direction,Dash direction snapshot,8.4,,2.35,One burst,0.24,17.35,Large (12-30),17.35,Large (12-30),Treated as a disk-equivalent because runtime exposes radius rather than a precise sector.,4,4,0,Carries caught enemies along the completed dash,,4 s payload cooldown,Target must be in the rear-biased catch volume during the dash,carried; endpoint grouping,enemies close behind or beside caster,Setup specialist,,High,src/wizard-next-twenty-dash-runtime.js,False
25,GUST-BURST,Gust Burst,Air,wizardVfxArcana,Movement / route,dash; gather; transport; endpoint,Origin gather disk → transport draught → endpoint disk,Copied curated dash source owns separate phases,Dash direction snapshot,4.4,,2.7,2 payload charges; 3 phases,0.5,22.9,Large (12-30),,Dynamic / unranked,Largest phase is the 2.7-radius gather disk; endpoint radius is 2.4. Draught union depends on transported target path.,4,3,1,"Gather, compress, transport to endpoint",,2 charges; 3.5 s recharge,Full sequence requires origin capture and successful handoff to the endpoint draught,grouped; transported; endpoint cluster,enemies near dash origin,Setup specialist,"Selected curated runtime uses a 4.4-unit dash, 2.7 gather radius, and 2.4 endpoint radius; not the unused generic spec.",High,src/wizard-curated-dash-source-port.js,True
26,RAZOR-BURST,Razor Burst,Air,wizardVfxArcana,Movement / route,dash wake; pull; slow; multi-hit,Stationary wake disk after dash,World-owned near dash origin/wake,Dash direction snapshot; zone itself radial,4.4,,2.1,5 ticks,1.0,13.85,Large (12-30),13.85,Large (12-30),Current curated base is a 2.1-radius disk with five 4-damage contacts.,4,3,1,Pull inward; strong slow,,5.12 s cooldown,Targets must remain in the one-second wake for all five contacts,grouped; slowed; inside-zone,rooted; enemies near origin,Setup specialist,"Selected curated runtime is 5 × 4 damage, not the unused four × 5 generic schedule.",High,src/wizard-curated-dash-source-port.js,True
27,SPIKE-TRACK,Spike Track,Earth,wizardNextTwentyDash,Movement / route,dash trail; shared ledger; sequential eruption,Sequential dash-route capsule,Eruptions sample the collision-clipped route,Dash direction snapshot,8.4,,0.82,Many visible spikes / one shared hit ledger,,,Dynamic / unranked,15.89,Large (12-30),Unique route corridor; many segments do not multiply damage or coverage because they share one logical attack.,4,4,0,Knockback,,5 s payload cooldown,No special trigger; each target can be hit once by the shared route,pushed; blocked route,enemies aligned with dash,Generalist,,High,src/wizard-next-twenty-dash-runtime.js,False
28,TOXIC-TRAP,Toxic Trap,Earth,wizardNextTwentyDash,Movement / route,dash; placed zone; poison,Placed circular poison zone after dash,World-owned planted zone,Dash direction snapshot; zone radial,8.4,,2.05,One trap,3.2,13.2,Large (12-30),13.2,Large (12-30),Persistent disk at the planted location.,3,3,0,,,6 s payload cooldown,Enemies must enter or remain in the placed trap to receive poison ticks,poisoned; inside-zone,rooted; slowed; grouped,Setup specialist,,High,src/wizard-next-twenty-dash-runtime.js,False
29,SNARE-TRACK,Snare Track,Earth,wizardNextTwentyDash,Movement / route,dash; fan; root,Dash followed by three-projectile fan corridors,Three independent snare carriers,Dash direction snapshot,16.9,,0.4,3 lanes at 0 / ±.26 rad,,1.51,Small (1-4),18.91,Large (12-30),Projectile fan union; engagement reach includes 8.4 dash plus 8.5 projectile range.,3,2,1,1.35 s entangle/root,,6 s payload cooldown,Full three-lane value requires multiple aligned targets or a large target,rooted; spread control,wide groups; enemies at endpoint,Setup specialist,,High,src/wizard-next-twenty-dash-runtime.js,False
30,THUNDER-LINE,Thunder Line,Lightning,wizardVfxArcana,Movement / route,dash placement; delayed disk; nested sweet spot,Delayed endpoint disk with nested core disk,Copied curated dash placement produces a telegraphed lightning strike,Dash/placement snapshot; radial detonation,,0.85,2.9,2 charges; burst + core,0.46,26.42,Large (12-30),26.42,Large (12-30),Base detonation disk is 2.9 radius; targets inside .85 core receive a separate second 10-damage event.,4,4,0,Shock,,2 charges; 5 s recharge; .2 s telegraph,Core bonus requires proximity to strike center,shocked; delayed zone; center sweet spot,rooted; grouped; predicted movement,Conditional payoff,"Live curated runtime is a disk/core strike, not the unused broad-radius plus rectangular-core generic representation.",High,src/wizard-curated-dash-source-port.js,True
31,CIRCUIT-LINE,Circuit Line,Lightning,wizardVfxArcana,Movement / route,dash nodes; delayed network; topology,Network of node-to-node line capsules,World-owned nodes connect after arm delay,Each dash/cast places a segment; network topology is player-authored,7.0,,0.62,3 charges; variable nodes and edges,,,Dynamic / unranked,,Dynamic / unranked,Each eligible edge is a capsule up to 7 units long (~9.88 sq units); network union varies with node layout and edge count.,2,2,0,,,3 charges; 4 s recharge; 1.5 s arm delay,Nodes must form at least one link within 7 units; more edges add two extra ticks each,connected hazard; repeated hits; route network,grouped; rooted; enemies crossing links,Conditional payoff,"Selected curated runtime uses 7.0 link range, .62 stream radius, and 6 base hits (+2 per extra edge).",High,src/wizard-curated-dash-source-port.js,True
32,SHOCK-LINE,Shock Line,Lightning,wizardNextTwentyDash,Movement / route,dash trail; line zone; defensive,Short persistent line capsule,World-owned segment left by dash,Dash direction snapshot,8.4,,0.34,One 4.4-unit segment,1.25,3.36,Small (1-4),3.36,Small (1-4),Persistent 4.4-unit capsule; not the full dash length.,3,3,0,Hit-stun; shock,Destroys eligible hostile projectiles,6 s payload cooldown,Targets must cross or remain on the short line,shocked; stunned; projectile-cleared; blocked route,chokepoints; rooted,Setup specialist,,High,src/wizard-next-twenty-dash-runtime.js,False
33,WAVE-FRONT,Wave Front,Water,wizardNextTwentyDash,Movement / route,dash; mobile disk; carry; shield,Large circular front that can detach and travel,"Initially dash/player-associated, then detached carrier",Dash direction snapshot,12.9,,2.3,3 damage ticks,0.45,16.62,Large (12-30),37.32,Huge (30-70),Approximate detached 4.5-unit travel corridor after release; dash motion can expand practical coverage.,5,4,1,Carries enemies,25-point shield,5 s payload cooldown,Full three-tick value requires target to remain in the moving front,carried; shielded; endpoint grouping,groups in front; incoming pressure,Setup / defense bridge,,High,src/wizard-next-twenty-dash-runtime.js,False
34,FROST-FEINT,Frost Feint,Ice,wizardNextTwentyDash,Movement / route,dash; decoy; reactive; freeze,Dash leaves decoy; enemy attack triggers circular shatter,World-owned decoy at dash origin,Dash direction; trigger is autonomous enemy response,8.4,,2.15,2 charges; one decoy each,2.0,14.52,Large (12-30),14.52,Large (12-30),Damage area exists only on a valid attack against the decoy.,2,1,1,1.25 s freeze,Decoy redirects an enemy attack,2 charges; 3.5 s recharge,An enemy must attack the decoy before it expires,frozen; baited attack; safe reposition,aggressive melee enemies; grouped around decoy,Conditional setup,,High,src/wizard-next-twenty-dash-runtime.js,False
35,FROST-WING,Frost Wing,Ice,wizardNextTwentyDash,Movement / route,dash; fan; freeze; defensive,Dash followed by four-projectile fan corridors,Four independent shards,Dash direction snapshot,17.4,,0.34,4 lanes at ±.15 / ±.38 rad,,1.45,Small (1-4),22.58,Large (12-30),Projectile fan union; engagement reach includes 8.4 dash plus 9 projectile range.,3,2,1,Strong knockback; 1.15 s freeze,Destroys eligible hostile projectiles,5.5 s payload cooldown,Full multi-shard value requires a large/close target or multiple enemies across the fan,frozen; pushed; projectile-cleared,wide groups; endpoint clusters,Setup / payoff bridge,,High,src/wizard-next-twenty-dash-runtime.js,False
36,CHAOTIC-RIFT,Chaotic Rift,Chaos,wizardNextTwentyDash,Movement / route,teleport; zero damage; mobility,Validated teleport line with no damage geometry,Caster relocates to resolved endpoint,Direction snapshot,8.4,,,One teleport,0.5,0.0,None,0.0,None,"Utility reach, not attack area; endpoint backs off from invalid terrain.",5,5,0,Caster reposition only,Untargetable/hidden during transit,.5 s payload cooldown,Endpoint must resolve to navigable space,repositioned; escaped; distance opened/closed,setup geometry; threatened zones,Utility setup,,High,src/wizard-next-twenty-dash-runtime.js,False
37,BLAZING-LARIAT,Blazing Lariat,Fire,wizardVfxArcana,Movement / route,slide; 330-degree sweep; two-hit; burn,Two near-full radial sectors during a forward slide,Sweeps are centered on the moving caster/source,Activation direction snapshot,7.6,0.0,5.2,"2 sweeps, 330° each",0.64,77.87,Extreme (70+),,Dynamic / unranked,Each sweep covers about 77.9 sq units before considering the 2.4-unit slide; two offset sweeps make cast union still larger.,5,4,1,20 source knockback per sweep,,5.5 s cooldown; .17 s forced slide,Second sweep has a .30 s delay and different angular offset,burning; heavy push; broad clear,surrounded; grouped; wall proximity,High-floor bridge,,High,src/wizard-curated-fire-source-port.js,False
38,EXPLOSIVE-CHARGE,Explosive Charge,Fire,wizardVfxArcana,Movement / route,dash-through; fuse; target-owned detonation,Dash-contact capsule → independent target-centered blast disks,Markers attach to every distinct crossed enemy,Dash direction snapshot; detonation uses stored direction,3.6,,1.5,3 charges; one marker per crossed enemy,1.0,7.07,Medium (4-12),12.43,Large (12-30),Dash contact corridor is ~12.43 sq units; each marked target later owns a 1.5-radius blast.,4,4,0,25 knockback along stored dash direction,,3 independently recovering charges; 3.5 s recharge,Dash must cross a target; marker then detonates reliably after 1 s,marked; delayed explosion; pushed; wall-adjacent,lines of enemies; wall-backed targets,Setup / payoff bridge,,High,src/wizard-curated-fire-source-port.js,False
39,FLAME-FUSION,Flame Fusion,Fire,wizardFusionLeap,Traveling carrier,projectile interaction; fusion; five-arrow fan,Slow fireball + delayed fast arrow → five-projectile fan on real collision,Parent projectiles remain independent until they physically meet,Fireball activation snapshot; follow-up arrow live-aimed,13.5,,0.48,2 parents; conditional 5-arrow fan,,0.72,Tiny (<1),17.22,Large (12-30),17.22 sq units is the post-fusion five-arrow fan union only; parent corridors remain independently useful and may diverge.,3,1,2,,,6 s cooldown; arrow follows .32 s after fireball,The two moving parent projectiles must actually collide; otherwise no fan exists,burning; five-lane fan; projectile-collision event,large target area; deliberate aim crossing,Payoff specialist,,High,src/wizard-fusion-leap-runtime.js,False
40,RAPID-FIRE-AGENT,Rapid Fire Agent,Fire,wizardAlliedArcana,Autonomous agent,summon; autonomous; ranged; distraction,Mobile allied actor with repeated projectile lanes,Agent follows caster and independently chooses nearest hostile,Autonomous targeting,9.0,,0.2,1 agent; 25 shots maximum over 10 s at .4 s cadence,10.0,0.13,Tiny (<1),,Dynamic / unranked,"Use 9-unit mobile threat envelope rather than a fixed floor area. Shot life permits a longer physical path, but targets are acquired inside 9.",5,4,1,Shot knockback,50-HP targetable ally diverts enemy attention,15 s cooldown; agent lasts 10 s or until destroyed,Value depends on agent survival and hostiles remaining inside its attack envelope,agent hits; diverted aggro; repeated autonomous pressure,marked; slowed; pinned targets,Engine / high-floor,,High,src/wizard-allied-arcana-runtime.js,False
41,WARD-OF-FLAMES,Ward of Flames,Fire,wizardAlliedArcana,Zone / field,placed zone; vulnerability; pulses; destructible,Large persistent circular field with destructible center object,Placed 1.45 units ahead and remains world-owned,Activation facing determines placement; field radial,6.05,,4.6,Placement burst + 1 pulse/s,8.0,66.48,Huge (30-70),66.48,Huge (30-70),Large 66.48-square-unit field; reach includes placement distance.,4,3,1,,50-HP destructible ward can draw/absorb attacks,8 s duration and 8 s cooldown,Damage amplification and repeated pulses require enemies to remain inside; overlapping vulnerability does not stack,fire-vulnerable; inside-zone; repeated pulses,grouped; rooted; fire-heavy deck,Setup specialist,,High,src/wizard-allied-arcana-runtime.js,False
42,MENTIS-IMPERIUM,Mentis Imperium,Air,wizardAlliedArcana,Traveling carrier,charm; faction conversion; single target,Single narrow projectile capsule,First valid ordinary enemy becomes player faction,Activation snapshot,7.0,,0.34,One projectile; one charmed target at a time,,0.36,Tiny (<1),5.12,Medium (4-12),Narrow projectile corridor; the persistent allied enemy creates a dynamic threat envelope afterward.,3,4,-1,Permanent faction conversion until transfer,Charmed enemy fights hostiles and no longer attacks player,6 s cooldown; recast transfers charm,Target must be ordinary/eligible; large enemies and bosses reject conversion,charmed ally; diverted aggro,high-value eligible enemy; crowded encounters,Setup / engine,,High,src/wizard-allied-arcana-runtime.js,False
43,HEROIC-LEAP,Heroic Leap,Air,wizardFusionLeap,Movement / route,rush; huge radial; carry; invulnerability,Rush → enormous fixed vortex disk → landing disk,Vortex is centered at leap route/airborne phase; landing at resolved endpoint,Activation direction snapshot,5.6,,5.0,5 vortex ticks + landing + optional carried bonus,0.78,78.54,Extreme (70+),,Dynamic / unranked,"Five-radius vortex is 78.54 sq units; landing disk is 32.17. Their centers differ, so whole-cast union is larger.",5,3,2,Carries first eligible ordinary target,Airborne invulnerability and projectile interception,6 s cooldown; forced rush/airborne sequence,Extra 50 carried-target payoff requires an eligible nonlarge target in the rush,carried; grouped at landing; projectile-cleared; repositioned,dense groups; carry-eligible priority target,Self-combo bridge,,High,src/wizard-fusion-leap-runtime.js,False
44,CYCLONE-BOOMERANG,Cyclone Boomerang,Air,wizardArcaneTypes,Traveling carrier,boomerang; broad carrier; return,Very broad outbound capsule with live-owner return path,One carrier has separate outbound and return hit ledgers,Activation snapshot outbound; return homes to live caster,8.5,,1.35,1 outbound + 1 return leg,0.8,5.73,Medium (4-12),28.68,Large (12-30),28.67-square-unit outbound corridor; return usually reuses it but can bend toward the moving caster.,4,3,1,1.5 world-unit knockback on each leg,,3.5 s cooldown,Second hit requires the return path to cross the target,pushed; return-hit opportunity,grouped; target between turn point and caster,Bridge,,High,src/wizard-arcane-types-runtime.js,False
